Year,Month,"Facility Reference 
Number",Licence Holder,Site Common Name,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Fish Health Zone,Number of Counts Performed,Average L. salmonis motiles per fish,Average L. salmonis females per fish,Average chalimus per fish,Average caligus per fish,Comments,Year Class,,
2011,August,304,Mainstream Canada,Raza Island,50.32159,-125.00882,3.2,0,,,,,Counts precluded by diminished stock (<4 pens),2,,
2011,August,306,Mainstream Canada,Venture Point,50.30241,-125.33778,3.2,2,0.70,0.10,0.80,5.80,,1,,
2011,August,377,Marine Harvest Canada,Bickley Bay,50.45308,-125.39642,3.2,0,,,,,Fallow,,,
2011,August,388,Marine Harvest Canada,Brougham Point,50.37192,-125.37990,3.2,2,4.80,1.70,5.80,3.00,Management action planned,2,,
2011,August,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,3.2,1,0.00,0.00,0.20,0.00,,2,,
2011,August,1164,Marine Harvest Canada,Far Side,50.48576,-125.27429,3.2,0,,,,,Counts precluded by diminished stock (<4 pens),2,,
2011,August,1031,Marine Harvest Canada,Frederick Arm,50.46975,-125.26153,3.2,0,,,,,Counts precluded by diminished stock (<4 pens),2,,
2011,August,100,Marine Harvest Canada,Lees Bay,50.41063,-125.70029,3.2,1,0.10,0.10,0.00,0.00,,2,,
2011,August,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,3.2,1,2.20,0.50,18.10,9.20,Management action underway,2,,
2011,August,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,3.2,2,3.30,1.20,4.50,0.00,Management action underway,2,,
2011,August,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,3.3,1,0.10,0.10,0.00,0.00,,2,,
2011,August,1144,Mainstream Canada,Burdwood,50.7969,-126.49581,3.3,2,0.10,0.00,0.00,0.00,,2,,
2011,August,819,Mainstream Canada,Cecil Island,50.85123,-126.71498,3.3,1,0.20,0.10,0.00,0.00,,Brood,,
2011,August,869,Mainstream Canada,Maude Island,50.85271,-126.75743,3.3,0,,,,,Counts not performed,2,,
2011,August,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,3.3,1,1.80,0.50,3.90,4.40,,1,,
2011,August,466,Marine Harvest Canada,Arrow Pass,50.70973,-126.66200,3.3,0,,,,,Fallow,,,
2011,August,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,3.3,1,0.20,0.00,0.20,0.00,,2,,
2011,August,821,Marine Harvest Canada,Glacier Falls,50.84785,-126.31921,3.3,1,0.10,0.10,0.00,0.00,,1,,
2011,August,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,3.3,1,0.10,0.00,0.00,0.00,,2,,
2011,August,1618,Marine Harvest Canada,Humphrey Rock,50.69682,-126.25532,3.3,1,0.10,0.00,0.00,0.00,,1,,
2011,August,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,3.3,1,0.90,0.40,3.80,0.10,,1,,
2011,August,141,Marine Harvest Canada,Port Elizabeth,50.67099,-126.47653,3.3,1,0.10,0.10,0.00,0.00,,2,,
2011,August,1145,Marine Harvest Canada,Potts Bay,50.6492,-126.6182,3.3,1,0.40,0.20,1.00,0.40,,Brood,,
2011,August,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,3.3,1,0.00,0.00,0.30,0.00,,1,,
2011,August,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,3.3,1,1.10,0.60,2.00,0.70,,2,,
2011,August,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.56810,3.3,0,,,,,Fallow,,,
2011,August,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,3.3,1,2.70,1.80,0.10,0.00,,2,,
2011,August,1336,Mainstream Canada,Simmonds Point,50.87791,-126.90153,3.4,2,0.20,0.00,1.60,0.40,,1,,
2011,August,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,3.4,1,0.60,0.20,2.10,1.50,,1,,
2011,August,1351,Marine Harvest Canada,Marsh Bay,50.90567,-127.34239,3.4,2,5.00,2.20,8.80,0.40,Management action underway,2,,
2011,August,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,3.4,1,0.60,0.30,5.20,1.20,,1,,
2011,August,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,3.4,1,2.10,1.00,5.30,0.50,,2,,
2011,August,831,Marine Harvest Canada,Shelter Pass,50.88414,-127.5004,3.4,1,0.70,0.30,0.00,0.00,,1,,
2011,August,1720,Marine Harvest Canada,Goat Cove,52.78726,-128.41990,3.5,0,,,,,Fallow,,,
2011,August,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,3.5,1,0.60,0.10,0.70,0.50,,1,,
2011,August,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,3.5,3,6.70,2.80,1.50,0.70,Management action planned,1,,
2011,August,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,3.5,1,2.80,1.30,0.30,0.30,,1,,
2011,August,1895,Marine Harvest Canada,Sheep Passage,52.79609,-128.31093,3.5,1,1.80,1.00,0.00,0.00,,2,,
2011,December,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,2.3,2,0.00,0.00,0.00,0.00,,2,,
2011,December,227,Mainstream Canada,Bawden,49.30798,-126.00721,2.3,2,0.10,0.10,0.00,0.00,,1,,
2011,December,520,Mainstream Canada,Bedwell,49.26548,-125.81247,2.3,2,0.30,0.10,0.00,0.10,,2,,
2011,December,1148,Mainstream Canada,Binns Island,49.34182,-125.95328,2.3,0,,,,,Fallow,,,
2011,December,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,2.3,2,0.60,0.10,0.60,0.40,,1,,
2011,December,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,2.3,1,0.00,0.00,0.00,0.10,,1,,
2011,December,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,2.3,0,,,,,Counts precluded by diminished stock (<4 pens),2,,
2011,December,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,2.3,2,0.40,0.30,0.00,0.00,,2,,
2011,December,526,Mainstream Canada,Rant Point,49.2567,-125.84153,2.3,0,,,,,Counts precluded by diminished stock (<4 pens),2,,
2011,December,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,2.3,2,0.20,0.20,0.00,0.00,,2,,
2011,December,527,Mainstream Canada,Saranac Island,49.24803,-125.90671,2.3,1,1.30,0.70,0.70,0.00,,1,,
2011,December,1472,Mainstream Canada,West Side,49.27928,-125.83065,2.3,2,0.10,0.00,0.10,0.00,,2,,
2011,December,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,2.4,1,2.50,1.20,0.10,0.00,Management action planned,2,,
2011,December,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,2.4,1,0.60,0.30,0.10,0.00,,1,,
2011,December,1849,Grieg Seafood BC,Muchalat North,49.64394,-126.33953,2.4,0,,,,,Counts precluded by diminished stock (<4 pens),2,,
2011,December,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,2.4,1,1.10,0.20,0.00,0.30,,1,,
2011,December,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,2.4,1,1.00,0.30,1.60,0.60,,2,,
2011,December,1238,Marine Harvest Canada,Mahatta West,50.46900,-127.83538,2.4,1,0.10,0.00,1.40,0.50,,1,,
2011,December,1237,Marine Harvest Canada,Monday Rocks,50.48588,-127.87584,2.4,1,0.50,0.30,2.60,1.70,,2,,
2011,December,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,3.1,0,,,,,Counts precluded by diminished stock (<4 pens),2,,
2011,December,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,3.1,1,0.20,0.00,0.00,0.00,,2,,
2011,December,332,Grieg Seafood BC,Salten,49.61535,-123.83407,3.1,0,,,,,Counts precluded by transfer,1,,
2011,December,746,Grieg Seafood BC,Site 13,49.6291,-123.84265,3.1,1,0.30,0.10,0.00,0.00,,2,,
2011,December,221,Grieg Seafood BC,Vantage,49.67226,-123.86019,3.1,1,0.00,0.00,0.00,0.00,,2,,
2011,December,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,3.2,1,1.40,0.30,0.30,0.00,,1,,
2011,December,137,Grieg Seafood BC,Conville Bay,50.18057,-125.14933,3.2,1,2.40,1.20,0.20,0.00,Management action underway,2,,
2011,December,1401,Mainstream Canada,Brent Island,50.28613,-125.34917,3.2,1,0.20,0.00,0.20,0.00,,1,,
2011,December,304,Mainstream Canada,Raza Island,50.32159,-125.00882,3.2,1,0.10,0.00,0.20,0.10,,1,,
2011,December,306,Mainstream Canada,Venture Point,50.30241,-125.33778,3.2,2,0.20,0.00,0.20,1.20,,1,,
2011,December,388,Marine Harvest Canada,Brougham Point,50.37192,-125.37990,3.2,1,0.10,0.00,1.00,1.00,,2,,
2011,December,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,3.2,0,,,,,Counts precluded by diminished stock (<4 pens),2,,
2011,December,733,Marine Harvest Canada,Cyrus Rock,50.25682,-125.21030,3.2,2,1.40,0.60,0.20,0.10,,2,,
2011,December,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,3.2,2,7.20,3.40,1.80,1.90,Management action underway,2,,
2011,December,100,Marine Harvest Canada,Lees Bay,50.41063,-125.70029,3.2,0,,,,,Counts precluded by diminished stock (<4 pens),2,,
2011,December,78,Marine Harvest Canada,Phillips Arm,50.48825,-125.35658,3.2,0,,,,,Recent seawater entry,1,,
2011,December,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,3.2,2,0.80,0.30,2.30,1.00,,2,,
2011,December,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,3.2,1,1.50,0.20,1.90,0.70,,2,,
2011,December,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,3.3,1,0.20,0.10,1.20,0.00,,2,,
2011,December,1144,Mainstream Canada,Burdwood,50.7969,-126.49581,3.3,0,,,,,Counts precluded by diminished stock (<4 pens),2,,
2011,December,819,Mainstream Canada,Cecil Island,50.85123,-126.71498,3.3,3,0.10,0.10,0.00,0.00,,Brood,,
2011,December,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,3.3,2,0.40,0.10,0.40,0.30,,1,,
2011,December,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,3.3,1,0.20,0.10,0.30,0.00,,2,,
2011,December,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,3.3,1,1.50,0.40,0.70,0.00,,2,,
2011,December,821,Marine Harvest Canada,Glacier Falls,50.84785,-126.31921,3.3,1,2.30,1.10,3.10,1.90,Management action underway,2,,
2011,December,1618,Marine Harvest Canada,Humphrey Rock,50.69682,-126.25532,3.3,1,1.00,0.30,1.10,0.70,Management action underway,2,,
2011,December,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,3.3,2,1.90,1.00,0.10,0.20,,2,,
2011,December,1145,Marine Harvest Canada,Potts Bay,50.6492,-126.6182,3.3,1,6.50,3.90,1.40,0.10,,Brood,,
2011,December,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,3.3,1,0.00,0.00,0.30,0.00,Management action underway,1,,
2011,December,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,3.3,0,,,,,Counts precluded by diminished stock (<4 pens),2,,
2011,December,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,3.3,2,4.90,3.50,0.40,0.10,Management action planned,2,,
2011,December,1336,Mainstream Canada,Simmonds Point,50.87791,-126.90153,3.4,2,1.70,0.80,0.30,0.40,,1,,
2011,December,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,3.4,1,0.50,0.10,0.00,0.00,,1,,
2011,December,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,3.4,1,1.10,0.20,0.30,0.20,,1,,
2011,December,1351,Marine Harvest Canada,Marsh Bay,50.90567,-127.34239,3.4,1,0.50,0.10,0.10,0.30,,2,,
2011,December,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,3.4,0,,,,,Counts precluded by transfer,1,,
2011,December,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,3.4,1,0.40,0.30,0.00,0.00,,2,,
2011,December,831,Marine Harvest Canada,Shelter Pass,50.88414,-127.5004,3.4,2,4.70,1.60,1.70,0.70,Management action underway,1,,
2011,December,1720,Marine Harvest Canada,Goat Cove,52.78726,-128.41990,3.5,0,,,,,Counts not performed,2,,
2011,December,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,3.5,0,,,,,Recent seawater entry,1,,
2011,December,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,3.5,1,2.50,1.60,0.00,0.00,,2,,
2011,December,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,3.5,1,2.30,1.10,0.00,0.00,,2,,
2011,December,1895,Marine Harvest Canada,Sheep Passage,52.79609,-128.31093,3.5,0,,,,,Counts precluded by diminished stock (<4 pens),2,,
2011,February,169,Mainstream Canada,Barkley,48.94310,-124.98704,2.3,2,0.00,0.00,0.00,0.02,,1,,
2011,February,1148,Mainstream Canada,Binns Island,49.34182,-125.95328,2.3,2,0.10,0.00,0.10,0.20,,2,,
2011,February,753,Mainstream Canada,Cormorant,49.25719,-125.9244,2.3,2,0.00,0.00,0.00,0.00,,1,,
2011,February,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,2.3,2,0.40,0.10,0.90,0.00,,2,,
2011,February,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,2.3,2,0.40,0.20,0.00,0.00,,2,,
2011,February,1291,Mainstream Canada,McIntyre Lake,49.30557,-125.81583,2.3,2,0.10,0.10,0.00,0.00,,2,,
2011,February,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,2.3,2,14.40,1.00,20.50,0.00,Management action underway,2,,
2011,February,526,Mainstream Canada,Rant Point,49.2567,-125.84153,2.3,2,0.20,0.10,0.20,0.10,,2,,
2011,February,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,2.3,2,1.10,0.30,4.40,0.70,,1,,
2011,February,527,Mainstream Canada,Saranac Island,49.24803,-125.90671,2.3,0,,,,,Recent seawater entry,1,,
2011,February,1472,Mainstream Canada,West Side,49.27928,-125.83065,2.3,2,0.10,0.00,0.00,0.00,,1,,
2011,February,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,2.4,1,0.30,0.10,0.00,0.00,,1,,
2011,February,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,2.4,1,0.00,0.00,0.00,0.00,,1,,
2011,February,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,2.4,1,0.80,0.20,0.10,0.00,,2,,
2011,February,1849,Grieg Seafood BC,Muchalat North,49.64394,-126.33953,2.4,1,0.10,0.00,0.00,0.00,,2,,
2011,February,1079,Grieg Seafood BC,Steamer,49.8868,-126.7911,2.4,1,0.90,0.30,0.40,0.10,,2,,
2011,February,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,2.4,1,0.80,0.60,0.00,0.00,,2,,
